GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 19:39,-3.694284,-4.785000
2021-10-11 19:39,-3.694616,-4.848333
2021-10-11 19:39,-3.694947,-4.375000
2021-10-11 19:39,-3.695278,-3.365000
2021-10-11 19:39,-3.695610,-3.916667
2021-10-11 19:39,-3.695941,-6.030001
2021-10-11 19:40,-3.696272,-8.143334
2021-10-11 19:40,-3.696603,-5.955000
2021-10-11 19:40,-3.696934,-3.068750
2021-10-11 19:40,-3.697266,-3.786250
2021-10-11 19:40,-3.697597,-4.503750
2021-10-11 19:40,-3.697928,-5.221251
2021-10-11 19:40,-3.698259,-4.747500
2021-10-11 19:40,-3.698591,-3.082500
2021-10-11 19:40,-3.698922,-3.610000
2021-10-11 19:40,-3.699253,-4.877500
2021-10-11 19:40,-3.699584,-4.692500
2021-10-11 19:40,-3.699916,-4.507500
2021-10-11 19:40,-3.700247,-4.322500
2021-10-11 19:40,-3.700578,-4.137500
2021-10-11 19:40,-3.700909,-3.952500
2021-10-11 19:40,-3.701241,-4.230000
2021-10-11 19:40,-3.701572,-4.970000
2021-10-11 19:40,-3.701903,-5.051250
2021-10-11 19:40,-3.702235,-4.473750
2021-10-11 19:40,-3.702566,-3.896250
2021-10-11 19:40,-3.702897,-3.318750
2021-10-11 19:40,-3.703228,-2.630000
2021-10-11 19:40,-3.703559,-1.830000
2021-10-11 19:40,-3.703891,-3.285000
2021-10-11 19:40,-3.704222,-4.610000
2021-10-11 19:40,-3.704553,-3.550000
2021-10-11 19:40,-3.704885,-2.490000
2021-10-11 19:40,-3.705216,-3.405000
2021-10-11 19:40,-3.705547,-3.100000
2021-10-11 19:40,-3.705878,-1.688000
2021-10-11 19:41,-3.706209,-2.364000
2021-10-11 19:41,-3.706541,-3.040000
2021-10-11 19:41,-3.706872,-3.716000
2021-10-11 19:41,-3.707203,-4.392000
2021-10-11 19:41,-3.707535,-4.085000
2021-10-11 19:41,-3.707866,-5.130000
2021-10-11 19:41,-3.708197,-6.255000
2021-10-11 19:41,-3.708528,-5.125000
2021-10-11 19:41,-3.708859,-3.995000
2021-10-11 19:41,-3.709191,-2.865000
2021-10-11 19:41,-3.709522,-2.591250
2021-10-11 19:41,-3.709853,-3.173750
2021-10-11 19:41,-3.710185,-3.756250
2021-10-11 19:41,-3.710516,-4.338750
2021-10-11 19:41,-3.710847,-3.175000
2021-10-11 19:41,-3.711178,-2.612500
2021-10-11 19:41,-3.711509,-4.397501
2021-10-11 19:41,-3.711841,-5.386667
2021-10-11 19:41,-3.712172,-5.580000
2021-10-11 19:41,-3.712503,-5.773334
2021-10-11 19:41,-3.712834,-5.487500
2021-10-11 19:41,-3.713166,-4.722500
2021-10-11 19:41,-3.713497,-4.081667
2021-10-11 19:41,-3.713828,-3.565000
2021-10-11 19:41,-3.714159,-3.048334
2021-10-11 19:41,-3.714491,-4.145000
2021-10-11 19:41,-3.714822,-5.585000
2021-10-11 19:41,-3.715153,-5.755000
2021-10-11 19:41,-3.715484,-4.130000
2021-10-11 19:41,-3.715816,-3.335000
2021-10-11 19:42,-3.716147,-5.165000
2021-10-11 19:42,-3.716478,-5.647501
2021-10-11 19:42,-3.716810,-4.782500
2021-10-11 19:42,-3.717141,-3.917500
2021-10-11 19:42,-3.717472,-3.052500
2021-10-11 19:42,-3.717803,-3.742500
2021-10-11 19:42,-3.718134,-5.987500
2021-10-11 19:42,-3.718466,-4.950000
2021-10-11 19:42,-3.718797,-4.595000
2021-10-11 19:42,-3.719128,-5.748750
2021-10-11 19:42,-3.719460,-4.446250
2021-10-11 19:42,-3.719791,-3.143750
2021-10-11 19:42,-3.720122,-1.841250
2021-10-11 19:42,-3.720453,-1.620000
2021-10-11 19:42,-3.720784,-2.480000
2021-10-11 19:42,-3.721116,-5.420000
2021-10-11 19:42,-3.721447,-5.335000
2021-10-11 19:42,-3.721778,-3.895000
2021-10-11 19:42,-3.722110,-4.710000
2021-10-11 19:42,-3.722441,-4.030000
2021-10-11 19:42,-3.722772,-5.275000
2021-10-11 19:42,-3.723103,-6.285000
2021-10-11 19:42,-3.723434,-5.135000
2021-10-11 19:42,-3.723766,-3.985000
2021-10-11 19:42,-3.724097,-3.447000
2021-10-11 19:42,-3.724428,-3.521000
2021-10-11 19:42,-3.724759,-3.595000
2021-10-11 19:42,-3.725091,-3.669000
2021-10-11 19:42,-3.725422,-3.743000
2021-10-11 19:42,-3.725753,-3.817000
2021-10-11 19:43,-3.726084,-3.891000
2021-10-11 19:43,-3.726416,-3.965000
2021-10-11 19:43,-3.726747,-4.039000
2021-10-11 19:43,-3.727078,-4.113000
2021-10-11 19:43,-3.727409,-4.203125
2021-10-11 19:43,-3.727741,-4.309375
2021-10-11 19:43,-3.728072,-4.415625
2021-10-11 19:43,-3.728403,-4.521875
2021-10-11 19:43,-3.728734,-4.628125
2021-10-11 19:43,-3.729066,-4.734375
2021-10-11 19:43,-3.729397,-4.840625
2021-10-11 19:43,-3.729728,-4.946875
